Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,Dried Cranberry,Dried Cranberry,1,65,0g,0g,0g,0mg,0mg,16.32g,0.99g,12.86g,0g,0mg,0mg,0mg,True,True,False,
All Day,Semi Sweet Chocolate Chips,Semi Sweet Chocolate Chips,2,265,15.1g,9.44g,0g,0mg,0mg,0g,3.78g,33.96g,3.78g,0mg,4.53mg,150.94mg,True,False,False,"soy,dairy"
All Day,Oreo Cookie Pieces,Oreo Cookie Pieces,1.5,205,7.85g,2.36g,0g,0mg,164.89mg,31.41g,17.27g,17.27g,1.57g,0mg,1.7mg,70.67mg,True,True,False,"soy,gluten,wheat"
All Day,M&M Milk Chocolate Chopped,M&M Milk Chocolate Chopped,2,285,13.22g,8.19g,0.1g,8.49mg,38.49mg,38.71g,1.53g,35.4g,2.71g,65.66mg,0.7mg,0mg,True,True,False,
All Day,Rainbow Sprinkles,Rainbow Sprinkles,2,272,11.26g,4.67g,3.96g,0mg,2.06mg,41.51g,0.2g,20.79g,0.93g,1.72mg,0.1mg,0mg,True,False,False,soy
All Day,Dark Chocolate Sauce,Dark Chocolate Sauce,1,105,0.94g,0g,0g,0mg,14.1mg,23.5g,0g,21.62g,0.94g,0mg,1.69mg,121.26mg,True,True,False,
All Day,Gummy Bears,Gummy Bears,2,57,0g,0g,0g,0mg,11.32mg,12.45g,0g,7.92g,0.57g,2.26mg,0mg,1.13mg,True,True,False,
All Day,Whipped Cream,Whipped Cream,1,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,False,False,
All Day,Maraschino Cherry,Maraschino Cherry,0.03,2,0g,0g,0g,0mg,0mg,0.32g,0g,0.16g,0g,0mg,0mg,0mg,True,True,False,
All Day,Chocolate Chip Cookie,Chocolate Chip Cookie,4,482,23.08g,13.99g,0.01g,88.68mg,184.29mg,47.33g,2.84g,44.15g,7.24g,14.49mg,3.75mg,98.6mg,True,False,False,"soy,gluten,wheat,dairy,eggs,alcohol"
All Day,Oatmeal Raisin Cookie,Oatmeal Raisin Cookie,4.14,469,18.01g,10.21g,0g,65.01mg,227.32mg,71.42g,4.07g,34.06g,7.79g,33.79mg,2.49mg,229.98mg,True,False,True,"gluten,wheat,dairy,eggs"
All Day,Sea Salt Kettle Chips,Sea Salt Kettle Chips,1.52,231,13g,1.5g,0g,0mg,180mg,25g,2g,0g,3g,0mg,0mg,0mg,True,True,False,
All Day,BBQ Kettle Chips,BBQ Kettle Chips,1.5,213,12.11g,1.51g,0g,0mg,302.86mg,25.74g,1.51g,1.51g,3.03g,7.57mg,0.61mg,575.42mg,True,True,False,
All Day,Smartfood White Cheddar Popcorn,Smartfood White Cheddar Popcorn,1.5,243,15.14g,3.03g,0g,7.57mg,302.86mg,22.71g,3.03g,3.03g,4.54g,54.51mg,0.45mg,151.43mg,True,False,False,dairy
All Day,Baked Lays Potato Chips,Baked Lays Potato Chips,1.13,140,3.99g,0.5g,0g,0mg,179.44mg,23.93g,1.99g,2.99g,1.99g,9.97mg,0.3mg,249.22mg,True,True,False,soy
