Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,Market Entrées,Chia Pudding Parfait,14.13,717,52.15g,39.61g,0.04g,0mg,6.05mg,56.91g,15.86g,37.89g,5.65g,205.98mg,3.48mg,773.05mg,False,False,False,
All Day,Market Entrées,"Prosciutto, Melon & Burrata",12.53,398,23.44g,11.43g,0g,40.48mg,2978.93mg,29.33g,2.45g,18.93g,19.92g,35.9mg,0.82mg,621.28mg,False,False,False,"gluten,wheat,dairy,alcohol"
All Day,Market Sandwiches,Peanut Butter & Strawberry Preserves Sandwich,6,492,25.28g,8.36g,0.02g,53.31mg,402.53mg,56.17g,2.69g,29.9g,11.46g,32.25mg,0.78mg,178.77mg,True,False,False,"soy,gluten,peanuts,wheat,dairy,eggs"
All Day,Market Sandwiches,Caprese Sandwich,13.67,758,36.65g,18.09g,0g,61.02mg,604.5mg,75g,5g,6.39g,32.12g,38.31mg,1.74mg,497.54mg,True,False,False,"soy,gluten,wheat,dairy,alcohol"
All Day,Market Sandwiches,Egg Salad Sandwich,12,500,24.86g,5g,0g,313.37mg,991.12mg,48.7g,3.54g,2.18g,19.45g,114.99mg,3.47mg,608.44mg,True,False,False,"soy,gluten,wheat,eggs,alcohol"
All Day,Market Sandwiches,Chicken Salad Sandwich,11,455,15.49g,1.93g,0g,44.04mg,1029.58mg,51.15g,4.18g,2.49g,24.13g,126.77mg,3.37mg,626.49mg,False,False,False,"soy,gluten,wheat,eggs"
All Day,Market Sandwiches,Chipotle Turkey Club Sandwich,14.99,1161,75.89g,21.12g,0g,118.59mg,1998.98mg,75.29g,8.29g,6.54g,45.17g,38.79mg,1.95mg,745.44mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Market Sandwiches,Ultimate BLT Sandwich,11.75,1027,62.84g,24.81g,0g,154.05mg,3023.11mg,59.21g,4.26g,9.29g,53.45g,51.91mg,1.53mg,308.89mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Market Sandwiches,Roast Beef Sandwich,12,555,20.88g,10.34g,0.34g,84.34mg,1246.26mg,51.97g,4.52g,3.64g,40.47g,81.28mg,3.88mg,365.2mg,False,False,False,"gluten,wheat,dairy"
All Day,Market Sandwiches,The Study Sandwich,11.45,477,13.86g,6.13g,0g,77.65mg,1951.41mg,50.98g,4.51g,3.37g,37.93g,304.02mg,1.49mg,681.77mg,False,False,False,"gluten,wheat,dairy,alcohol"
All Day,Market Sandwiches,Tuna Salad Croissant Sandwich,13.28,878,54.28g,21.64g,0.04g,208.71mg,2207.77mg,47.09g,3.01g,5.08g,47.05g,148.45mg,4.97mg,826.91mg,False,False,False,"soy,gluten,wheat,dairy,eggs,alcohol"
All Day,Market Sandwiches,Ham & Swiss Croissant Sandwich,9.09,735,50.52g,20.09g,0g,129.29mg,1290.73mg,46.55g,1.93g,8.22g,27.64g,297.58mg,1.65mg,440.24mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Market Sandwiches,Pesto Turkey Bacon Wrap,11.52,755,51g,7.9g,0g,65.43mg,1589.43mg,46.72g,2.81g,3.2g,29.91g,186.11mg,3.59mg,704.59mg,False,False,False,"soy,gluten,wheat,dairy,eggs"
All Day,Market Sandwiches,Vegan Chicken Caesar Wrap,11.18,753,43.18g,6.3g,0g,0mg,1705.08mg,68.14g,7g,7.32g,26.26g,227.56mg,4.56mg,556.52mg,True,True,False,"soy,gluten,wheat,alcohol"
All Day,Market Salads,Chicken Caesar Salad,11,631,43.79g,7.92g,0g,110.25mg,688.48mg,14.93g,2.43g,1.59g,41.64g,161.99mg,1.81mg,406.24mg,False,False,False,"fish,soy,gluten,wheat,dairy,eggs"
All Day,Market Salads,Tarragon Chicken Salad,9.51,416,21.37g,2.1g,0g,61.01mg,854.42mg,28.89g,4.93g,5.47g,25.82g,91.31mg,2.21mg,488.85mg,False,False,False,"soy,gluten,wheat,sesame,eggs"
All Day,Market Salads,Louie Shrimp & Avocado Salad,14.72,756,60.41g,8.89g,0g,339.31mg,792.97mg,32.46g,8.59g,6.26g,26.28g,107.43mg,2.46mg,1053.39mg,False,False,False,"fish,soy,shellfish,gluten,wheat,sesame,eggs"
All Day,Market Salads,Cucumber Dill & Salmon Salad,16,680,53.6g,6.62g,0g,70.75mg,947.23mg,15.06g,3.72g,6.35g,29.3g,115.19mg,2.18mg,1053.39mg,False,False,False,"fish,alcohol"
